GAME,
Advance Wars,
Age of Empires,
Aliens Versus Predator,
Baldur's Gate,
Batman: Arkham Asylum,
Battlefield 1942,
Blast Corps,
Call of Duty 4: Modern Warfare,
Castlevania,
Chrono Trigger,
Sid Meier's Civilization V,
"Commander Keen in Goodbye, Galaxy",
Conker's Bad Fur Day,
Dark Souls,
Dance Dance Revolution,*DDR Series
Dota,
Donkey Kong Country,
Double Dragon,
Duck Tales,
Duke Nukem 3D,
The Elder Scrolls V: Skyrim,
Fallout 3,
Final Fantasy VII,
Final Fantasy VIII,
Final Fight,
Gauntlet,
God of War II,
Golden Axe,
GoldenEye 007,
Grand Theft Auto III,
Guardian Heroes,
Half-Life,
Halo: Combat Evolved,
Ico,
Journey,
Killer Instinct,
The Last of Us,
League of Legends,
The Legend of Zelda: Ocarina of Time,
Lemmings,
Limbo,
Mario Kart 64,
Mega Man,
Metal Gear Solid 3: Snake Eater,
Metal Slug,
Mike Tyson's Punch Out!!,
Mortal Kombat (2011),
Mutant League Football,
Myst,
NBA Jam,*NBA Jam Series
Ninja Gaiden,
Pac-Man: Championship Edition,
Phoenix Wright: Ace Attorney,
Pitfall!,
Pokemon Red and Blue,*Listed as Pokemon Series
Pokemon Yellow,*Listed as Pokemon Series
Pokemon Gold and Silver,*Listed as Pokemon Series
Pokemon Crystal,*Listed as Pokemon Series
Pokemon Ruby and Sapphire,*Listed as Pokemon Series
Pokemon Emerald,*Listed as Pokemon Series
Pokemon Diamond and Pearl,*Listed as Pokemon Series
Pokemon Platinum,*Listed as Pokemon Series
Pokemon Black and White,*Listed as Pokemon Series
Pokemon FireRed and LeafGreen,*Listed as Pokemon Series
Portal,
Portal 2,
Prince of Persia,
Professor Layton and the Curious Village,
Quake,
Red Dead Redemption,
Resident Evil 4,
Rez,*Rez Infinite
Rock Band,*Rock Band Series
Rock Band 2,*Rock Band Series
Rock Band 3,*Rock Band Series
Rome: Total War,
Sam & Max Hit the Road,
Samurai Shodown,
Shenmue,
SimCity,
Sonic CD,
Sonic the Hedgehog,
SoulCalibur II,
Star Wars: Dark Forces,
Star Wars: Knights of the Old Republic,
Star Wars: TIE Fighter,
StarCraft,
Street Fighter II,
Street Fighter III,
Streets of Rage,
Stunts,
Super Mario 64,
Super Mario Bros. 3,
Super Mario World,
Super Metroid,
Super Smash Bros. Melee,
Teenage Mutant Ninja Turtles: Turtles in Time,
Tetris,
Trials HD,
Uncharted 2: Among Thieves,
Vampire The Masquerade: Bloodlines,
Virtua Fighter 4,
The Walking Dead,
Warcraft II,
The Witcher 2: Assassins of Kings,
Wolfenstein 3D,
Wonder Boy in Monster Land,
Worms Armageddon,
