RANK,GAME,
100,Ico,
99,Grim Fandango,
98,Pokemon Diamond and Pearl,
97,Sid Meier's Civilization IV,
96,Street Fighter,"*Doesn't specify, so guessing original"
95,God of War II,
94,Gran Turismo 3: A-Spec,
93,Guild Wars,
92,Shadow of the Colossus,
91,Final Fantasy XII,
90,Kingdom Hearts II,
89,Diablo II,
88,Command & Conquer: Red Alert,
87,Super Metroid,
86,The Elder Scrolls III: Morrowind,
85,Unreal Tournament,
84,StarCraft,
83,Animal Crossing: Wild World,
82,Gran Turismo 5 Prologue,
81,Super Smash Bros. Brawl,
80,Perfect Dark,
79,Kingdom Hearts,
78,God of War,
77,Guitar Hero II,
76,Rome: Total War,
75,Age of Empires II: The Age of Kings,
74,Championship Manager 01/02,
73,Resident Evil 2,
72,Mass Effect,
71,Football Manager 2008,
70,TimeSplitters 2,
69,Super Mario Land,
68,Star Wars: Knights of the Old Republic,
67,Battlefield 2,
66,Final Fantasy IX,
65,Sid Meier's Civilization,
64,Gran Turismo,
63,Ratchet & Clank: Tools of Destruction,
62,Fable,
61,Mario Kart DS,
60,Metal Gear Solid 2: Sons of Liberty,
59,New Super Mario Bros.,
58,Lego Star Wars II: The Original Trilogy,
57,Halo 2,
56,Sonic the Hedgehog 2,
55,Street Fighter II,
54,Metal Gear Solid 3: Snake Eater,
53,Counter-Strike: Source,
52,The Sims,
51,Wii Sports,
50,Gran Turismo 4,
49,BioShock,
48,Mario & Sonic at the Olympic Games,
47,Deus Ex,
46,Space Invaders,
45,Monkey Island 2: LeChuck's Revenge,
44,Pro Evolution Soccer 6,
43,The Legend of Zelda: A Link to the Past,
42,Resident Evil,
41,Final Fantasy VIII,
40,Super Mario Kart,
39,Guitar Hero III,
38,Pokemon Red and Blue,
37,FIFA 08,
36,Assassin's Creed,
35,Super Smash Bros. Melee,
34,Pac-Man,
33,Final Fantasy X,
32,Mario Kart 64,
31,Command & Conquer: Red Alert 2,
30,Doom,
29,Wii Fit,
28,The Legend of Zelda: Twilight Princess,
27,Sensible Soccer,
26,Crash Bandicoot,
25,Shenmue,
24,The Sims 2,
23,Resident Evil 4,
22,Elite,
21,Super Mario Galaxy,
20,Super Mario World,
19,Sonic the Hedgehog,
18,Half-Life,
17,Tetris,
16,Super Mario Bros. 3,
15,Tomb Raider,
14,Halo: Combat Evolved,
13,Mario Kart Wii,
12,World of Warcraft,
11,The Elder Scrolls IV: Oblivion,
10,Gears of War,
9,Half-Life 2,
8,Metal Gear Solid,
7,Halo 3,
6,GoldenEye 007,
5,Super Mario 64,
4,Grand Theft Auto IV,
3,Final Fantasy VII,
2,The Legend of Zelda: Ocarina of Time,
1,Call of Duty 4: Modern Warfare,
