PUBLICATION,GAME
Giant Bomb,Tetris Effect
Destructoid,God of War (2018)
Easy Allies,God of War (2018)
Edge,Red Dead Redemption 2
Famitsu,Monster Hunter: World
Famitsu,Super Smash Bros. Ultimate
GameSpot,Red Dead Redemption 2
IGN,God of War (2018)
Golden Joystick Awards,Fortnite
Game Developers Choice Awards,God of War (2018)
Game Awards,God of War (2018)
D.I.C.E. Awards,God of War (2018)
BAFTA,God of War (2018)
GamesRadar+,God of War (2018)
Game Informer,God of War (2018)
SXSW Gaming Awards,God of War (2018)
NAVGTR,God of War (2018)
New York Game Awards,God of War (2018)
